Title,Note,URL,Comment
Mon Nan,,https://www.google.com/maps/place/Mon+Nan/data=!4m2!3m1!1s0x4cc91a51c68b73d3:0xb12809e0d8b7a905,
BAR - Big in Japan,,https://www.google.com/maps/place/BAR+-+Big+in+Japan/data=!4m2!3m1!1s0x4cc91bcd365376af:0x1bd17c7377c44265,
IMADAKE IZAKAYA,,https://www.google.com/maps/place/IMADAKE+IZAKAYA/data=!4m2!3m1!1s0x4cc91a729d9d957d:0xaeeee959f468388f,
Bar Ganadara,,https://www.google.com/maps/place/Bar+Ganadara/data=!4m2!3m1!1s0x4cc91a6c71bf7b01:0x65c2a47fd441dcc5,
Otto Yakitori Izakaya,,https://www.google.com/maps/place/Otto+Yakitori+Izakaya/data=!4m2!3m1!1s0x4cc91a6ba30ecf15:0x951330fef3669d81,
Bar Tapas Taza Flores,,https://www.google.com/maps/place/Bar+Tapas+Taza+Flores/data=!4m2!3m1!1s0x4cc9197f35b80bab:0xc3b34cc50ca2a92c,
Mezcaleros Tapas & Cocktails,,https://www.google.com/maps/place/Mezcaleros+Tapas+%26+Cocktails/data=!4m2!3m1!1s0x4cc91979d493e21b:0xa084ce6b0c21428e,
Le Rouge Gorge,,https://www.google.com/maps/place/Le+Rouge+Gorge/data=!4m2!3m1!1s0x4cc91bdb21243205:0xae0f630e9ab92c24,
Mala Tang,,https://www.google.com/maps/place/Mala+Tang/data=!4m2!3m1!1s0x89b7b68278f4350d:0xad356fc051827e43,
Reren Lamen & Bar,,https://www.google.com/maps/place/Reren+Lamen+%26+Bar/data=!4m2!3m1!1s0x89b7b78df707b3ef:0xd1c7612acf3922d7,
Hikari Sushi & Sake Bar,,https://www.google.com/maps/place/Hikari+Sushi+%26+Sake+Bar/data=!4m2!3m1!1s0x89b7b83d0d91e437:0x1ddd4cef126f6cb2,
Chaplin's Restaurant,,https://www.google.com/maps/place/Chaplin's+Restaurant/data=!4m2!3m1!1s0x89b7b7edd940a969:0xfeed85a86d11e4ba,
