Title,Note,URL,Comment
Tentake,Blowfish / puffer fish,https://www.google.com/maps/place/Tentake/data=!4m2!3m1!1s0x601889647120144f:0xa9e50cd345be32ab,
Izakaya Toyo,,https://www.google.com/maps/place/Izakaya+Toyo/data=!4m2!3m1!1s0x6000e0d9cfb2ad1b:0x995c24a4969a300d,
KOBE COFFEE,Afternoon tea - affordable ,https://www.google.com/maps/place/KOBE+COFFEE/data=!4m2!3m1!1s0x6018f831b233112b:0x777ba9a30ccffbc5,
Kobe Coffee Story Santica,Afternoon tea,https://www.google.com/maps/place/Kobe+Coffee+Story+Santica/data=!4m2!3m1!1s0x60008ee4d5f18da1:0x11b9bb60bbf15731,
Nakatanidou,Mochi shop,https://www.google.com/maps/place/Nakatanidou/data=!4m2!3m1!1s0x6001398812073c9b:0xca16527bbdfdc288,
"Kathakali, An Indian Eatery",,"https://www.google.com/maps/place/Kathakali,+An+Indian+Eatery/data=!4m2!3m1!1s0x54901266e2fece55:0x211881cb0299d427",
Indian Bistro,,https://www.google.com/maps/place/Indian+Bistro/data=!4m2!3m1!1s0x54905bdc5dfb92b7:0x779230aee76a845b,
Che Dessert,Durian,https://www.google.com/maps/place/Che+Dessert/data=!4m2!3m1!1s0x549042017ccc91c7:0x3aaf6839a471a96b,
Chengdu Taste Seattle,Sichuan,https://www.google.com/maps/place/Chengdu+Taste+Seattle/data=!4m2!3m1!1s0x54906b648486386d:0x53999b12596e2d87,
Vientiane Grocery,Laotian,https://www.google.com/maps/place/Vientiane+Grocery/data=!4m2!3m1!1s0x549041fde04086cb:0x14697befb2bcb96c,
COMMUNION Restaurant & Bar,,https://www.google.com/maps/place/COMMUNION+Restaurant+%26+Bar/data=!4m2!3m1!1s0x54906b0f649631b9:0x75b1274cb3c3c64b,
Little Brother,Chicken pot pie,https://www.google.com/maps/place/Little+Brother/data=!4m2!3m1!1s0x87ee9f72de461015:0xa605890ce29bb6f4,
Il Vero Alfredo,Most famous Fettuccine alfredo ,https://www.google.com/maps/place/Il+Vero+Alfredo/data=!4m2!3m1!1s0x132f60568e228409:0x7ce166027ba9db4b,
Kuromon Ichiba Market,Street food,https://www.google.com/maps/place/Kuromon+Ichiba+Market/data=!4m2!3m1!1s0x6000e741e541225d:0xac1d2c78be23c141,
Sanrio Cafe,,https://www.google.com/maps/place/Sanrio+Cafe/data=!4m2!3m1!1s0x601845c4a28d7e87:0x593c0c54ef90435c,
Nakamise-dori Street,Street food ,https://www.google.com/maps/place/Nakamise-dori+Street/data=!4m2!3m1!1s0x60188ec130fbdd3d:0x5135221a7fa19dbc,
Torikizoku,Cheap yakitori; AYCE Option for minimum 4 ppl,https://www.google.com/maps/place/Torikizoku/data=!4m2!3m1!1s0x60188ca8ed2c776b:0xeca272250e8cf800,
Daio Wasabi Farm,"Wasabi ice cream, free",https://www.google.com/maps/place/Daio+Wasabi+Farm/data=!4m2!3m1!1s0x601d6da35d71bd7d:0xd8adcf7ab2065700,
Kawakamian,Soba noodles; soba tea,https://www.google.com/maps/place/Kawakamian/data=!4m2!3m1!1s0x601dd385d6723a63:0xd36dc29b2822b8cb,
Dropped pin,PARKING,"https://www.google.com/maps/search/38.2553742,-85.7635152",
Egg Drop,,https://www.google.com/maps/place/Egg+Drop/data=!4m2!3m1!1s0x357ca35c4da4239f:0x5b00cfc331812c3a,
Sulnoon,,https://www.google.com/maps/place/Sulnoon/data=!4m2!3m1!1s0x357ca1b37a9d100f:0xfec6568eb1c41ce2,
Lee Jung Seop Street,,https://www.google.com/maps/place/Lee+Jung+Seop+Street/data=!4m2!3m1!1s0x350c539e434d700b:0x55cc6366cc80e3f,
Empress M,Xiao long bao,https://www.google.com/maps/place/Empress+M/data=!4m2!3m1!1s0x8085077815065c83:0xedd616eecae2d68d,
Four Season Buffet,Lobster AYCE?,https://www.google.com/maps/place/Four+Season+Buffet/data=!4m2!3m1!1s0x54856db7da42e4df:0x11a62a247621db35,
The Mellwood Tavern,Fried chicken dinner Tuesday and Thursday happy hour drinks 4-7,https://www.google.com/maps/place/The+Mellwood+Tavern/data=!4m2!3m1!1s0x886973180d655a2d:0x7032d038445ef873,
Star Samarkand,Russian food,https://www.google.com/maps/place/Star+Samarkand/data=!4m2!3m1!1s0x357ca3229cb21dcd:0x76a6f35281478836,
오다리집 간장게장,Ganjang gejang,https://www.google.com/maps/place/%EC%98%A4%EB%8B%A4%EB%A6%AC%EC%A7%91+%EA%B0%84%EC%9E%A5%EA%B2%8C%EC%9E%A5/data=!4m2!3m1!1s0x357ca2f11c5ab835:0x7cc10a466a8a210c,
Halmae-jib Wonjo Bokguk,Pufferfish,https://www.google.com/maps/place/Halmae-jib+Wonjo+Bokguk/data=!4m2!3m1!1s0x35688d41fcd43b5f:0x6de96890adc628dc,
"Geumsubokguk, Haeundae Head Store",Pufferfish,"https://www.google.com/maps/place/Geumsubokguk,+Haeundae+Head+Store/data=!4m2!3m1!1s0x35688d67e0eea86f:0x5ce608b7b14b1db9",
Chowon Bokguk Haeundae,Pufferfish,https://www.google.com/maps/place/Chowon+Bokguk+Haeundae/data=!4m2!3m1!1s0x35688d6860bf6bed:0xfba789538aaf22c3,
503 Cocktail Lab and Tasting Room,,https://www.google.com/maps/place/503+Cocktail+Lab+and+Tasting+Room/data=!4m2!3m1!1s0x87ee99e2cd8797ef:0x36df3ba01ba9cce8,
Pa Lian Burmese Restaurant,Laphet thoke,https://www.google.com/maps/place/Pa+Lian+Burmese+Restaurant/data=!4m2!3m1!1s0x880e54be99422801:0xe8dfb8a4d178d447,
Hope Breakfast Bar - St. Paul,Pickle pretzel,https://www.google.com/maps/place/Hope+Breakfast+Bar+-+St.+Paul/data=!4m2!3m1!1s0x87f62b3c3e2fdf2d:0xf16452e949c03cbf,
El Último Maya,Food?,https://www.google.com/maps/place/El+%C3%9Altimo+Maya/data=!4m2!3m1!1s0x8f4e33e0a7a1aebb:0xdffa41a2f61274cb,
