Title,Note,URL,Comment
Isarn Thai Soul Kitchen,Maybe?,https://www.google.com/maps/place/Isarn+Thai+Soul+Kitchen/data=!4m2!3m1!1s0x549015c682c27d3d:0xa89002434c3dacc5,
Indigo Cow,Hokkaido soft serve,https://www.google.com/maps/place/Indigo+Cow/data=!4m2!3m1!1s0x549015e4ebf5f10f:0x6185f32c6ddf8993,
Nue,Laphet thoke,https://www.google.com/maps/place/Nue/data=!4m2!3m1!1s0x54906acdfa55ddcf:0xaa8c3f43520ea04d,
Musang,Modern Filipino food,https://www.google.com/maps/place/Musang/data=!4m2!3m1!1s0x54906b9ea048fa07:0x82d31b72e4d729b,
Spices of Nepal Restaurant & Grocery,,https://www.google.com/maps/place/Spices+of+Nepal+Restaurant+%26+Grocery/data=!4m2!3m1!1s0x87eea2b8ae272737:0x6533e5096e9dd1eb,
Yoyogi Fukamachi Mini Park Transparent Bathrooms,Transparent toilet,https://www.google.com/maps/place/Yoyogi+Fukamachi+Mini+Park+Transparent+Bathrooms/data=!4m2!3m1!1s0x6018f35b52abbd31:0xb2c913501dd9ff5f,
Shibuya SKY,,https://www.google.com/maps/place/Shibuya+SKY/data=!4m2!3m1!1s0x60188b6825f61ae1:0x6ff47ee61e522473,
The Carlton Tavern,Pub accidentally demolished and rebuilt,https://www.google.com/maps/place/The+Carlton+Tavern/data=!4m2!3m1!1s0x4876100bb4199505:0x8151807d9e86b26b,
Carlton Tavern,Pub that is over 100 years old accidents demolished and rebuilt,https://www.google.com/maps/place/Carlton+Tavern/data=!4m2!3m1!1s0x4876100bb67ec4c5:0xe23aba1ffd738d1d,
Magnuson Cafe & Brewery,Nice views,https://www.google.com/maps/place/Magnuson+Cafe+%26+Brewery/data=!4m2!3m1!1s0x54901348033be10d:0xee8c7f4a8bdfd69c,
Xi'an Noodles,Hand pulled noodles,https://www.google.com/maps/place/Xi'an+Noodles/data=!4m2!3m1!1s0x54901463e93af9cb:0x265af15bf194a314,
Westman's Bagel and Coffee,,https://www.google.com/maps/place/Westman's+Bagel+and+Coffee/data=!4m2!3m1!1s0x549015b934b85faf:0x2d31cf1a92dd99bc,
Westman's Bagel and Coffee,Bagel,https://www.google.com/maps/place/Westman's+Bagel+and+Coffee/data=!4m2!3m1!1s0x54906ad1f9ec7d17:0x59ac2e886c8f0fd2,
Nakiryu,Long waits. Go one hour before they open!,https://www.google.com/maps/place/Nakiryu/data=!4m2!3m1!1s0x60188d750ebbb143:0xc93cf4fd48f57a07,
GEMOR,Whiskey!,https://www.google.com/maps/place/GEMOR/data=!4m2!3m1!1s0x6004d2064bdad9c7:0x3e0b95281740af00,
Iroquois Sewing Tailor,,https://www.google.com/maps/place/Iroquois+Sewing+Tailor/data=!4m2!3m1!1s0x886913669c63d90b:0x56eac42bdeb23ea,
Hierve el Agua,Gorgeous,https://www.google.com/maps/place/Hierve+el+Agua/data=!4m2!3m1!1s0x85c0c8fe944491e3:0x2d9ba5e9d5bb8efd,
Garner State Park,Beautiful frio river,https://www.google.com/maps/place/Garner+State+Park/data=!4m2!3m1!1s0x864eac14e07f90e1:0xc8f4076cc97a0831,
Great Flood Highlands,,https://www.google.com/maps/place/Great+Flood+Highlands/data=!4m2!3m1!1s0x88690ca529e74e01:0xec477bc1b055e43c,
River House Restaurant and Raw Bar,,https://www.google.com/maps/place/River+House+Restaurant+and+Raw+Bar/data=!4m2!3m1!1s0x8869739d941016dd:0x7ebca576d2cb3f83,
Baud et Millet,AYCE CHEESE,https://www.google.com/maps/place/Baud+et+Millet/data=!4m2!3m1!1s0xd5527de9944e065:0x56654fad0964d4aa,
Awers Inc.,Cavier,https://www.google.com/maps/place/Awers+Inc./data=!4m2!3m1!1s0x54906cf85eae427d:0x6e25f9a86d2d2011,
Cup Noodles Museum Osaka Ikeda (Momofuku Ando Invention Memorial),Free admission and 500 yen for a cup noodle,https://www.google.com/maps/place/Cup+Noodles+Museum+Osaka+Ikeda+(Momofuku+Ando+Invention+Memorial)/data=!4m2!3m1!1s0x6000f0c60f096aa7:0xe581ef01f49dbaa,
Sakurai Japanese Tea Experience,Yea experience and tea liquor infusion ,https://www.google.com/maps/place/Sakurai+Japanese+Tea+Experience/data=!4m2!3m1!1s0x60188b70dfedb24d:0xb56c6172f5c2cae3,
Nomizono Falls,Read more about this spot. Looks gorgeous saw it on windows Lock Screen photo,https://www.google.com/maps/place/Nomizono+Falls/data=!4m2!3m1!1s0x6022abb2ac0621c7:0xa53c3d6848f93333,
